ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107.0,30.0,95.7,2.0,2871.0,2018-02-24,828.0,5,1,95.0,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,2
10121.0,34.0,81.35,5.0,2765.0,2018-05-07,757.0,5,1,95.0,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,51100,France,Henriot,Paul,2
10134.0,41.0,94.74,2.0,3884.0,2018-07-01,703.0,5,1,95.0,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,1
10145.0,45.0,83.26,6.0,3746.0,2018-08-25,649.0,5,1,95.0,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,1
10168.0,36.0,96.66,1.0,3479.0,2018-10-28,586.0,5,1,95.0,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,1
10180.0,29.0,86.13,9.0,2497.0,2018-11-11,573.0,5,1,95.0,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,59000,France,Rance,Martine,2
10188.0,48.0,114.84,1.0,5512.0,2018-11-18,567.0,5,1,95.0,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,1
10211.0,41.0,114.84,14.0,4708.0,2019-01-15,510.0,5,1,95.0,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,1
10223.0,37.0,107.18,1.0,3965.0,2019-02-20,475.0,5,1,95.0,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,1
10237.0,23.0,101.44,7.0,2333.0,2019-04-05,432.0,5,1,95.0,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,2
10251.0,28.0,113.88,2.0,3188.0,2019-05-18,390.0,5,1,95.0,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,1
10263.0,34.0,108.14,2.0,3676.0,2019-06-28,350.0,5,1,95.0,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,97562,USA,King,Julie,1
10275.0,45.0,92.83,1.0,4177.0,2019-07-23,326.0,5,1,95.0,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,1
